,Data Type,Missing Values,Missing Percentage
Transaction_ID,float64,333,0.11
Customer_ID,float64,308,0.1
Name,object,382,0.13
Email,object,347,0.11
Phone,float64,362,0.12
Address,object,315,0.1
City,object,248,0.08
State,object,281,0.09
Zipcode,float64,340,0.11
Country,object,271,0.09
Age,float64,173,0.06
Gender,object,317,0.1
Income,object,290,0.1
Customer_Segment,object,215,0.07
Date,object,359,0.12
Year,float64,350,0.12
Month,object,273,0.09
Time,object,350,0.12
Total_Purchases,float64,361,0.12
Amount,float64,357,0.12
Total_Amount,float64,350,0.12
Product_Category,object,283,0.09
Product_Brand,object,281,0.09
Product_Type,object,0,0.0
Feedback,object,184,0.06
Shipping_Method,object,337,0.11
Payment_Method,object,297,0.1
Order_Status,object,235,0.08
Ratings,float64,184,0.06
products,object,0,0.0
